Release,Filename,LOC,NR,Authors,Loc Touched,Loc added,LOC added,Avg LOC added,Churn,Max Churn,Avg Churn,Buggy
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,4,2,333,235,137,58,139,137,34,No
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,5,2,436,340,252,68,262,252,52,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,14,3,921,701,275,50,481,194,34,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,3,3,69,40,29,13,11,11,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,4,2,42,27,12,6,12,8,3,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,9,3,308,146,64,16,64,40,7,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,5,3,92,86,76,17,80,75,16,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,7,3,155,85,42,12,21,16,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,5,3,54,35,15,7,16,15,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,3,3,20,13,12,4,6,6,2,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,1,1,0,0,0,0,0,0,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,5,3,275,143,113,28,15,13,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,4,3,40,31,12,7,22,12,5,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,9,3,1122,630,401,70,138,59,15,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,6,2,1134,931,714,155,882,714,147,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,4,2,15,8,4,2,1,1,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,2,2,6,3,3,1,0,0,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,5,3,45,23,16,4,1,1,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,3,3,10,5,4,1,0,0,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,8,3,96,43,26,5,14,12,1,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,4,3,23,12,7,3,1,1,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,3,2,99,50,46,16,1,1,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,12,3,1615,915,520,76,223,75,18,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,7,3,130,90,32,12,54,28,7,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,9,3,155,92,28,10,31,18,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,6,3,74,46,17,7,18,9,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,4,3,18,9,7,2,0,0,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,4,3,61,44,30,11,27,26,6,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,4,3,43,23,17,5,3,2,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,6,2,151,127,101,21,107,101,17,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,1,1,78,78,78,78,78,78,78,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,2,2,2,1,1,0,0,0,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,2,2,2,1,1,0,0,0,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,2,1,107,106,61,53,105,61,52,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,4,2,232,224,216,56,216,216,54,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,4,2,417,397,377,99,377,377,94,Yes
